#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
100,-401885.68706061924,70.79055995583688,-401814.8965006634,0.32764324139883255,0.9525552254942915
200,-401980.809157996,164.82582381683025,-401815.98333417915,0.7628710270870851,0.9525552254942915
300,-402063.15243609855,247.79968217114055,-401815.3527539274,1.1469027951580522,0.9525552254942915
400,-402164.37138222763,347.6434058786494,-401816.727976349,1.60901414572889,0.9525552254942915
500,-402251.02504287707,432.1281776493305,-401818.8968652277,2.0000389446435394,0.9525552254942915
600,-402308.54158190405,487.1261232771403,-401821.4154586269,2.2545884945696035,0.9525552254942915
700,-402395.33665847545,572.9608049609441,-401822.37585351453,2.651861144324928,0.9525552254942915
800,-402448.1040569707,629.0017742495866,-401819.1022827211,2.911238169175673,0.9525552254942915
900,-402559.18704211945,744.4025391604257,-401814.784502959,3.445352897168786,0.9525552254942915
1000,-402678.03121313127,859.1450284485613,-401818.8861846827,3.9764208974782798,0.9525552254942915
1100,-402702.04667066084,885.6568666016583,-401816.3898040592,4.099126871175069,0.9525552254942915
1200,-402754.9702335228,935.9818391886124,-401818.9883943342,4.332048282617266,0.9525552254942915
1300,-402860.7345616468,1042.8404518538064,-401817.894109793,4.826626970041813,0.9525552254942915
1400,-402960.7168668886,1144.1760201464285,-401816.54084674217,5.295643094297656,0.9525552254942915
1500,-403003.37663150346,1189.1205333071503,-401814.2560981963,5.503661875110494,0.9525552254942915
1600,-403076.23254391085,1258.0025644294783,-401818.2299794814,5.822471783735804,0.9525552254942915
1700,-403116.4445159831,1295.8378030694396,-401820.60671291366,5.997586378603098,0.9525552254942915
1800,-403191.59256982105,1372.5069591819138,-401819.08561063913,6.352437800030977,0.9525552254942915
1900,-403278.0982104321,1461.990986161752,-401816.10722427035,6.7666008843657455,0.9525552254942915
2000,-403289.71610867465,1473.697819745676,-401816.01828892896,6.820784166774395,0.9525552254942915
2100,-403373.5367720346,1554.733825950857,-401818.8029460837,7.195846883606206,0.9525552254942915
2200,-403438.326342775,1622.8169006552898,-401815.50944211974,7.510958945079877,0.9525552254942915
2300,-403490.61346591124,1675.6041667215068,-401815.0092991897,7.755276703963375,0.9525552254942915
2400,-403542.72104100743,1728.1873702450393,-401814.5336707624,7.998649990688792,0.9525552254942915
2500,-403550.74187429855,1736.0851142904396,-401814.65676000813,8.035203486810133,0.9525552254942915
2600,-403618.0144340028,1804.9471922435957,-401813.0672417592,8.353921045254461,0.9525552254942915
2700,-403660.92659052135,1845.2939679146575,-401815.6326226067,8.540659903784544,0.9525552254942915
2800,-403715.66138540814,1899.2266722277927,-401816.43471318035,8.790279147785217,0.9525552254942915
2900,-403752.4458839712,1935.790054631192,-401816.65582934,8.959507151273653,0.9525552254942915
3000,-403787.63678646693,1967.903987823991,-401819.73279864294,9.108141562018794,0.9525552254942915
3100,-403846.0572744389,2030.8681351553687,-401815.18913928355,9.399561453829739,0.9525552254942915
3200,-403887.33165010484,2076.661058581188,-401810.67059152364,9.611506971335523,0.9525552254942915
3300,-403895.0238773138,2083.579615442567,-401811.4442618713,9.643528449867102,0.9525552254942915
3400,-403914.67347036535,2102.240805436226,-401812.43266492913,9.729898903522168,0.9525552254942915
3500,-403958.152208772,2144.291305446939,-401813.8609033251,9.924523188660567,0.9525552254942915
3600,-403975.6784193148,2166.5086103852864,-401809.1698089295,10.027352574523423,0.9525552254942915
3700,-404026.4691791781,2212.2211458858546,-401814.24803329224,10.238926028855598,0.9525552254942915
3800,-404046.3344770395,2229.595090612169,-401816.73938642733,10.31933866536483,0.9525552254942915
3900,-404047.6000629524,2227.6998138041654,-401819.9002491482,10.310566667557358,0.9525552254942915
4000,-404083.5538942837,2268.0078262907136,-401815.546067993,10.497126116637524,0.9525552254942915
4100,-404062.7789808635,2250.9502405875983,-401811.82874027593,10.4181776993105,0.9525552254942915
4200,-404121.13981864066,2307.2028399184383,-401813.9369787222,10.678534221329317,0.9525552254942915
4300,-404144.6347304941,2329.7366974302386,-401814.89803306386,10.782828722192026,0.9525552254942915
4400,-404140.88559173094,2324.058878305026,-401816.8267134259,10.756549807836475,0.9525552254942915
4500,-404152.054159353,2336.712155505179,-401815.3420038478,10.815113559257037,0.9525552254942915
4600,-404211.3546227631,2396.8704253642754,-401814.4841973988,11.093546877850315,0.9525552254942915
4700,-404194.46621035645,2375.5002511681923,-401818.96595918824,10.994638306605358,0.9525552254942915
4800,-404229.7900694595,2410.3365050491466,-401819.45356441033,11.155872560817627,0.9525552254942915
4900,-404260.77868901426,2436.915425628118,-401823.8632633861,11.278889015226369,0.9525552254942915
5000,-404322.09054810787,2500.351466682354,-401821.73908142553,11.572492994704504,0.9525552254942915
5100,-404281.33379038284,2463.221383853099,-401818.1124065297,11.40064210527555,0.9525552254942915
5200,-404320.41863441793,2508.9283239585766,-401811.49031045934,11.612189662180363,0.9525552254942915
5300,-404340.7568688714,2523.348661177975,-401817.4082076934,11.678931979681108,0.9525552254942915
5400,-404368.70401164284,2549.198284883399,-401819.50572675944,11.79857299544746,0.9525552254942915
5500,-404348.98096701736,2528.540050629297,-401820.44091638806,11.702959528951181,0.9525552254942915
5600,-404394.98568652244,2575.401731872691,-401819.58395464974,11.919851627976293,0.9525552254942915
5700,-404447.2732821335,2627.3620792224483,-401819.91120291105,12.160342120501065,0.9525552254942915
5800,-404423.8700871696,2607.716360396993,-401816.1537267726,12.069414926259377,0.9525552254942915
5900,-404409.62662944244,2596.483552719168,-401813.14307672327,12.017425600000788,0.9525552254942915
6000,-404441.5400579423,2625.3971356958127,-401816.1429222465,12.151247680979267,0.9525552254942915
6100,-404467.3517849748,2651.3295495812217,-401816.0222353936,12.27127187838655,0.9525552254942915
6200,-404501.8097548899,2679.412442479628,-401822.3973124103,12.401249237837165,0.9525552254942915
6300,-404472.15990755474,2657.0881693282763,-401815.07173822646,12.297924766018536,0.9525552254942915
6400,-404528.72458860883,2712.8994776973523,-401815.8251109115,12.556238840552794,0.9525552254942915
6500,-404568.729776178,2750.3689189020515,-401818.36085727595,12.729660398135746,0.9525552254942915
6600,-404531.80571269104,2712.787911671132,-401819.0178010199,12.55572247432425,0.9525552254942915
6700,-404589.0799640897,2771.9402815710737,-401817.1396825186,12.829500139348097,0.9525552254942915
6800,-404569.3973697745,2749.6386009757516,-401819.7587687988,12.726280233707412,0.9525552254942915
6900,-404597.1569858161,2781.171792025203,-401815.98519379087,12.87222676857783,0.9525552254942915
7000,-404562.1882814341,2751.0093005964154,-401811.1789808377,12.732624306518513,0.9525552254942915
7100,-404589.4201954962,2773.458123126613,-401815.9620723696,12.836525236020549,0.9525552254942915
7200,-404626.2594483015,2809.402830862782,-401816.8566174387,13.002889798769585,0.9525552254942915
7300,-404609.09556002216,2790.5500203227193,-401818.54553969944,12.915632458826549,0.9525552254942915
7400,-404619.5200915565,2803.4895912888005,-401816.0305002677,12.97552127700064,0.9525552254942915
7500,-404619.88257856155,2800.685869004178,-401819.1967095574,12.96254467873826,0.9525552254942915
7600,-404694.44770819996,2874.936673694734,-401819.5110345052,13.306203131792769,0.9525552254942915
7700,-404706.4551334386,2885.191732211126,-401821.2634012274,13.35366709612843,0.9525552254942915
7800,-404660.7000677665,2844.6298501322435,-401816.07021763426,13.165932650605564,0.9525552254942915
7900,-404675.38529917086,2858.42969315576,-401816.9556060151,13.229803105957814,0.9525552254942915
8000,-404740.8298381199,2919.8375716383753,-401820.9922664815,13.514020046267673,0.9525552254942915
8100,-404716.5133441896,2896.116484223159,-401820.39685996645,13.40423063402012,0.9525552254942915
8200,-404701.1341563682,2879.3485099293785,-401821.78564643883,13.32662263864992,0.9525552254942915
8300,-404738.0067617246,2922.4907987135302,-401815.5159630111,13.526300100551934,0.9525552254942915
8400,-404720.7384059285,2903.6028349731923,-401817.1355709553,13.438880059416949,0.9525552254942915
8500,-404760.1308317357,2940.8959685591435,-401819.23486317653,13.61148560424727,0.9525552254942915
