"#""Step""",Potential Energy (kJ/mole),Kinetic Energy (kJ/mole),Total Energy (kJ/mole),Temperature (K),Density (g/mL)
100,-394979.997,6501.058385,-388478.9387,30.08915091,0.952555225
200,-389256.8908,11851.73866,-377405.1522,54.85395329,0.952555225
300,-384273.8651,16987.23483,-367286.6303,78.62280909,0.952555225
400,-379508.4268,21254.12353,-358254.3033,98.37144853,0.952555225
500,-375811.167,25902.09981,-349909.0672,119.8838934,0.952555225
600,-371618.3278,29393.06408,-342225.2637,136.0412857,0.952555225
700,-368153.5995,32515.49818,-335638.1013,150.4929927,0.952555225
800,-364813.4574,35750.89623,-329062.5612,165.467536,0.952555225
900,-361978.0274,38225.90452,-323752.1229,176.9227319,0.952555225
1000,-359132.2864,40450.47926,-318681.8072,187.2188347,0.952555225
1100,-356713.4341,42773.69257,-313939.7415,197.9714709,0.952555225
1200,-354502.7812,44597.0684,-309905.7128,206.4106861,0.952555225
1300,-352114.2906,46054.29084,-306059.9998,213.1552164,0.952555225
1400,-350002.086,47742.84197,-302259.2441,220.9704162,0.952555225
1500,-347831.0513,49115.65129,-298715.4,227.3242534,0.952555225
1600,-346191.1978,50619.95692,-295571.2409,234.2867012,0.952555225
1700,-344213.2335,51328.99035,-292884.2432,237.5683536,0.952555225
1800,-343385.6556,53007.51833,-290378.1373,245.3371627,0.952555225
1900,-341582.2116,53648.79111,-287933.4205,248.3051953,0.952555225
2000,-339968.0086,54441.65186,-285526.3567,251.9748296,0.952555225
2100,-338540.14,55115.22671,-283424.9133,255.0923674,0.952555225
2200,-336938.018,55599.4951,-281338.5229,257.3337293,0.952555225
2300,-335900.5265,56167.9711,-279732.5554,259.9648332,0.952555225
2400,-335167.143,57542.26741,-277624.8756,266.3255528,0.952555225
2500,-334207.7541,57763.84066,-276443.9135,267.3510706,0.952555225
2600,-332787.9511,57789.02557,-274998.9255,267.467635,0.952555225
2700,-332541.0818,58495.71455,-274045.3672,270.7384365,0.952555225
2800,-331609.4536,58897.88279,-272711.5708,272.5998105,0.952555225
2900,-331062.0575,59546.807,-271515.2505,275.6032566,0.952555225
3000,-329814.2849,59582.02894,-270232.256,275.766276,0.952555225
3100,-328400.8727,59251.7351,-269149.1376,274.2375616,0.952555225
3200,-328444.9046,60448.87816,-267996.0265,279.7783545,0.952555225
3300,-327751.9979,60540.77369,-267211.2242,280.2036789,0.952555225
3400,-326895.564,60884.13474,-266011.4293,281.7928728,0.952555225
3500,-326355.0105,61308.27908,-265046.7314,283.7559598,0.952555225
3600,-325974.3988,61621.77405,-264352.6248,285.2069231,0.952555225
3700,-325052.8515,61197.38361,-263855.4679,283.2426971,0.952555225
3800,-324541.4582,60755.64053,-263785.8177,281.1981571,0.952555225
3900,-324994.1,61355.55585,-263638.5441,283.974773,0.952555225
4000,-324726.1824,61739.93945,-262986.2429,285.7538335,0.952555225
