#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
100,-242910.44603712764,3807.820295054349,-239102.6257420733,30.455525967861377,0.9621320880879569
200,-239522.38679472078,6817.326133375871,-232705.0606613449,54.52601147067666,0.9621320880879569
300,-236714.05673676357,9739.437807112525,-226974.61892965104,77.89750515068691,0.9621320880879569
400,-234007.36260018742,12230.06094350107,-221777.30165668635,97.81788787067948,0.9621320880879569
500,-231655.66812124755,14408.338130219257,-217247.3299910283,115.24008017094634,0.9621320880879569
600,-229599.62628391664,16734.755185219576,-212864.87109869707,133.84711767286356,0.9621320880879569
700,-227563.2197247008,18704.802339734335,-208858.41738496645,149.60385449948402,0.9621320880879569
800,-225404.65755572915,20133.528875365504,-205271.12868036365,161.03102667024075,0.9621320880879569
900,-223823.9927223688,21883.12721882391,-201940.8655035449,175.0245803712208,0.9621320880879569
1000,-222128.28482091893,23152.74057748425,-198975.54424343468,185.17914114816833,0.9621320880879569
1100,-220633.01971655525,24369.847319888766,-196263.1723966665,194.91374602096232,0.9621320880879569
1200,-219144.39402103517,25448.731007046066,-193695.6630139891,203.54282187131102,0.9621320880879569
1300,-218301.70367007796,26595.937990803795,-191705.76567927416,212.7183578412528,0.9621320880879569
1400,-217015.57860304136,27371.88969378249,-189643.68890925887,218.92453759993717,0.9621320880879569
1500,-215401.65807829145,27827.305531694117,-187574.35254659734,222.56702274969788,0.9621320880879569
1600,-214423.01502049156,28906.73271011794,-185516.28231037362,231.20044552587248,0.9621320880879569
1700,-213284.03864625376,29540.557342347805,-183743.48130390595,236.2698713522484,0.9621320880879569
1800,-212070.96416969108,29805.522336791037,-182265.44183290005,238.38910168444684,0.9621320880879569
1900,-211547.3916361211,30685.65462913958,-180861.7370069815,245.428533644928,0.9621320880879569
2000,-210702.8778614998,31252.050782631268,-179450.82707886852,249.95865624109342,0.9621320880879569
2100,-209690.57422527764,31680.55107788928,-178010.02314738836,253.38586678630122,0.9621320880879569
2200,-208804.83260989655,32090.183690521924,-176714.64891937462,256.6621707357076,0.9621320880879569
