"#""Step""",Potential Energy (kJ/mole),Kinetic Energy (kJ/mole),Total Energy (kJ/mole),Temperature (K),Density (g/mL)
100,-391431.3587,6398.832843,-385032.5258,29.64339356,0.95800248
200,-385611.0858,11856.0699,-373755.0158,54.92472687,0.95800248
300,-380473.0025,16725.28278,-363747.7197,77.4819646,0.95800248
400,-375930.3485,21280.3189,-354650.0296,98.58373921,0.95800248
500,-371433.31,24999.06896,-346434.241,115.811314,0.95800248
600,-367550.6501,29145.28505,-338405.365,135.0191787,0.95800248
700,-363894.4427,32185.57654,-331708.8661,149.1037093,0.95800248
800,-360466.2076,34951.77191,-325514.4357,161.9184554,0.95800248
900,-357775.9177,38023.15641,-319752.7613,176.1470283,0.95800248
1000,-354877.7402,40266.13661,-314611.6036,186.5379146,0.95800248
1100,-352393.9866,42545.7076,-309848.279,197.0983124,0.95800248
1200,-349967.6132,44145.97883,-305821.6344,204.511769,0.95800248
1300,-348230.6528,45903.16649,-302327.4863,212.6521607,0.95800248
1400,-346036.8807,47275.35103,-298761.5297,219.0089772,0.95800248
1500,-344333.8121,48721.97328,-295611.8388,225.7106357,0.95800248
1600,-342540.0928,50312.18849,-292227.9043,233.0775066,0.95800248
1700,-340651.1033,50931.92127,-289719.1821,235.9484962,0.95800248
1800,-339279.1806,51846.85703,-287432.3236,240.1870506,0.95800248
1900,-338140.8869,53000.04286,-285140.844,245.5293282,0.95800248
2000,-337105.6769,54018.56605,-283087.1108,250.2477642,0.95800248
2100,-336126.4,55310.11787,-280816.2821,256.2310396,0.95800248
2200,-334346.9539,55397.63314,-278949.3208,256.636465,0.95800248
2300,-332629.3468,55519.65021,-277109.6965,257.2017244,0.95800248
2400,-332112.8608,56457.56505,-275655.2957,261.5467322,0.95800248
2500,-331489.7659,57626.6352,-273863.1307,266.9625959,0.95800248
2600,-330161.9843,58029.79826,-272132.186,268.8302992,0.95800248
2700,-328653.6779,57898.49402,-270755.1838,268.2220159,0.95800248
2800,-328002.4036,58548.09541,-269454.3082,271.2313756,0.95800248
2900,-327424.6525,58982.21596,-268442.4366,273.2424934,0.95800248
3000,-326449.429,59180.62999,-267268.799,274.1616712,0.95800248
3100,-326031.1252,59820.79968,-266210.3256,277.1273373,0.95800248
3200,-325114.3351,59826.82639,-265287.5087,277.1552568,0.95800248
3300,-324793.8463,60283.59024,-264510.2561,279.2712725,0.95800248
3400,-324195.4171,60269.05859,-263926.3585,279.2039528,0.95800248
3500,-324026.568,60873.66961,-263152.8984,282.004889,0.95800248
3600,-323231.9544,60675.62039,-262556.334,281.0874012,0.95800248
3700,-323127.0789,61167.68638,-261959.3925,283.3669585,0.95800248
3800,-322027.7843,61055.02808,-260972.7562,282.8450548,0.95800248
3900,-321986.5109,62148.06226,-259838.4487,287.9086723,0.95800248
4000,-321224.4351,61853.42976,-259371.0053,286.5437504,0.95800248
4100,-320504.1743,61483.16489,-259021.0094,284.8284521,0.95800248
4200,-320451.2252,62109.26626,-258341.9589,287.728945,0.95800248
4300,-319778.3789,61941.11401,-257837.2649,286.9499587,0.95800248
4400,-319604.528,62811.32081,-256793.2072,290.9813005,0.95800248
4500,-318979.848,62715.1774,-256264.6706,290.5359042,0.95800248
4600,-318698.7343,63186.74882,-255511.9854,292.7205178,0.95800248
4700,-317981.6792,63067.52978,-254914.1494,292.1682207,0.95800248
4800,-317384.8883,63119.43515,-254265.4531,292.4086788,0.95800248
4900,-317374.1837,63213.30921,-254160.8745,292.8435621,0.95800248
5000,-317806.4677,63348.23634,-254458.2314,293.4686289,0.95800248
5100,-317772.0835,63399.90652,-254372.1769,293.7079975,0.95800248
5200,-316903.3788,63292.04423,-253611.3346,293.2083119,0.95800248
5300,-316206.431,62989.94125,-253216.4897,291.8087821,0.95800248
5400,-316288.1898,63432.77438,-252855.4155,293.8602619,0.95800248
5500,-316305.7258,63862.03073,-252443.6951,295.8488457,0.95800248
5600,-316422.3578,64033.32244,-252389.0354,296.6423759,0.95800248
5700,-316524.1404,64200.4406,-252323.6998,297.4165717,0.95800248
5800,-315677.8223,63661.49127,-252016.3311,294.9198215,0.95800248
5900,-316355.7943,64281.71329,-252074.081,297.7930776,0.95800248
6000,-316289.1777,64427.12661,-251862.0511,298.466723,0.95800248
6100,-315603.1834,63820.9977,-251782.1857,295.6587551,0.95800248
6200,-315399.2139,63539.74113,-251859.4728,294.3557988,0.95800248
6300,-316310.6449,64859.42667,-251451.2183,300.4694071,0.95800248
6400,-315586.5828,64223.71822,-251362.8646,297.5244082,0.95800248
6500,-315471.634,64667.01911,-250804.6149,299.578055,0.95800248
6600,-315099.9147,64625.94247,-250473.9723,299.3877624,0.95800248
6700,-315298.8809,64409.91602,-250888.9648,298.3869928,0.95800248
6800,-315094.3851,64430.86126,-250663.5239,298.4840243,0.95800248
6900,-315359.853,64457.18392,-250902.6691,298.6059673,0.95800248
7000,-314767.9058,64106.95783,-250660.948,296.9835011,0.95800248
7100,-314967.8229,64093.3834,-250874.4395,296.9206159,0.95800248
7200,-315355.0751,64309.39363,-251045.6815,297.9213103,0.95800248
7300,-315577.5927,64104.90101,-251472.6917,296.9739726,0.95800248
7400,-315275.6124,64095.92605,-251179.6863,296.932395,0.95800248
7500,-315237.2529,64162.91109,-251074.3418,297.2427116,0.95800248
7600,-315144.4412,64048.1692,-251096.272,296.7111554,0.95800248
7700,-315086.7589,63992.51979,-251094.2391,296.4533526,0.95800248
7800,-314987.4558,63925.16836,-251062.2874,296.1413387,0.95800248
7900,-314911.755,63888.61654,-251023.1384,295.9720078,0.95800248
8000,-315311.9144,64600.97082,-250710.9436,299.2720781,0.95800248
8100,-315580.7121,64237.68397,-251343.0282,297.5891063,0.95800248
8200,-315600.8256,64129.99457,-251470.831,297.0902217,0.95800248
8300,-315581.3193,64404.97639,-251176.3429,298.3641094,0.95800248
8400,-315923.0933,64853.8273,-251069.266,300.4434674,0.95800248
8500,-315453.2397,64375.04315,-251078.1966,298.2254399,0.95800248
8600,-315467.6115,64252.02051,-251215.591,297.6555221,0.95800248
8700,-315560.9224,64350.34858,-251210.5739,298.1110392,0.95800248
8800,-315362.8104,64091.11436,-251271.6961,296.9101042,0.95800248
8900,-315793.5295,64331.47356,-251462.056,298.0235983,0.95800248
9000,-315954.9909,64497.53092,-251457.46,298.7928798,0.95800248
9100,-315889.7428,64308.64204,-251581.1008,297.9178284,0.95800248
9200,-315612.2203,64179.77169,-251432.4486,297.3208204,0.95800248
9300,-315227.1333,63992.10829,-251235.025,296.4514463,0.95800248
9400,-314950.4078,63942.32446,-251008.0834,296.2208164,0.95800248
9500,-314965.032,64132.06391,-250832.9681,297.0998082,0.95800248
9600,-315160.7014,64316.94576,-250843.7556,297.9562965,0.95800248
9700,-315149.055,64295.92522,-250853.1298,297.8589162,0.95800248
9800,-315010.0632,64006.92495,-251003.1382,296.5200863,0.95800248
9900,-314847.6707,63957.88693,-250889.7838,296.2929115,0.95800248
10000,-315173.0842,64472.93587,-250700.1483,298.6789402,0.95800248
10100,-314863.1252,64362.14535,-250500.9799,298.1656892,0.95800248
10200,-314920.0224,64818.84594,-250101.1765,300.2814118,0.95800248
10300,-314276.9769,64408.97386,-249868.0031,298.3826281,0.95800248
10400,-314643.2607,64907.97748,-249735.2833,300.6943248,0.95800248
10500,-314348.6509,64360.08323,-249988.5677,298.1561362,0.95800248
10600,-314393.6439,64981.39075,-249412.2532,301.034421,0.95800248
10700,-314097.9552,64799.37152,-249298.5836,300.1911941,0.95800248
10800,-314378.2455,65452.87095,-248925.3745,303.218612,0.95800248
10900,-313966.3243,64520.6406,-249445.6837,298.8999383,0.95800248
11000,-313914.1255,64506.7787,-249407.3468,298.8357213,0.95800248
11100,-314249.0418,64309.86038,-249939.1814,297.9234726,0.95800248
11200,-314643.5606,65252.31504,-249391.2456,302.2895117,0.95800248
11300,-314596.9897,64816.65124,-249780.3385,300.2712446,0.95800248
11400,-314159.9131,64375.73768,-249784.1754,298.2286574,0.95800248
11500,-314424.7496,64836.17125,-249588.5784,300.3616735,0.95800248
11600,-315006.4164,65162.19744,-249844.2189,301.8720306,0.95800248
11700,-314379.7725,64603.50696,-249776.2655,299.2838271,0.95800248
11800,-314551.9645,64434.02765,-250117.9368,298.498693,0.95800248
