#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
50,-244857.8330364367,2088.568498212626,-242769.2645382241,16.704688563057303,0.9621320880879569
100,-243119.86536194477,3772.5465871588385,-239347.31877478593,30.173401486254463,0.9621320880879569
150,-241393.62845210521,5368.206791595294,-236025.42166050992,42.935734534170486,0.9621320880879569
200,-239809.96904972568,6923.178490372826,-232886.79055935284,55.37263472426538,0.9621320880879569
250,-238254.8009826343,8329.663444294536,-229925.13753833977,66.62191534110646,0.9621320880879569
300,-236978.3318984788,9767.320467774174,-227211.01143070462,78.12051491218665,0.9621320880879569
350,-235501.36622826103,11041.042990460759,-224460.32323780027,88.30794140810471,0.9621320880879569
400,-234107.39158061054,12247.798790555971,-221859.59279005456,97.95975786971704,0.9621320880879569
450,-232867.3459718777,13353.390642733255,-219513.95532914443,106.80244968675842,0.9621320880879569
500,-231791.67875286937,14695.414277469856,-217096.2644753995,117.5361588668606,0.9621320880879569
550,-230616.66396581475,15711.3511555703,-214905.31281024445,125.66177656286443,0.9621320880879569
600,-229511.5936034778,16782.522713064798,-212729.07089041302,134.22916962699603,0.9621320880879569
650,-228539.23319364805,17714.06766174105,-210825.165531907,141.67980783371178,0.9621320880879569
700,-227449.16218787152,18491.609281803772,-208957.55290606775,147.89870399109344,0.9621320880879569
750,-226366.94987257943,19272.161287981668,-207094.78858459776,154.14167767456604,0.9621320880879569
800,-225604.14421528298,20350.964082640596,-205253.1801326424,162.77010653440732,0.9621320880879569
850,-224730.02337590698,21205.878316713788,-203524.1450591932,169.60784062861538,0.9621320880879569
900,-223569.72916272376,21647.593988296285,-201922.13517442747,173.14074976399777,0.9621320880879569
950,-222902.98492284794,22451.86688557081,-200451.11803727713,179.57344674289808,0.9621320880879569
1000,-222173.36249921657,23166.763622062223,-199006.59887715435,185.2912995918973,0.9621320880879569
1050,-221362.6050400203,23795.720381169813,-197566.8846588505,190.32179142853735,0.9621320880879569
1100,-220675.35745713953,24444.244465353666,-196231.11299178586,195.50878570773114,0.9621320880879569
1150,-220295.69657971477,25079.439195195446,-195216.25738451933,200.58916978322725,0.9621320880879569
1200,-219228.40857955627,25244.60259898941,-193983.80598056686,201.91017181153217,0.9621320880879569
1250,-218787.24365549907,26133.73838178371,-192653.50527371536,209.0216150582151,0.9621320880879569
1300,-218210.15051052067,26555.412698857894,-191654.73781166278,212.39423039153658,0.9621320880879569
1350,-217464.3105349196,26939.610004576156,-190524.70053034346,215.46709888700687,0.9621320880879569
1400,-216815.46467671264,27308.546711027884,-189506.91796568476,218.4179107880915,0.9621320880879569
1450,-216150.71969197225,27609.452625950566,-188541.26706602168,220.82460206964,0.9621320880879569
1500,-215833.1849373104,28303.065537367453,-187530.11939994295,226.3722236479843,0.9621320880879569
1550,-214955.70121635217,28249.82148027129,-186705.87973608088,225.94636957980978,0.9621320880879569
1600,-214826.91287130956,29023.837555539794,-185803.07531576976,232.13706789361916,0.9621320880879569
1650,-214229.78292824794,29334.48871579519,-184895.29421245275,234.62170312979154,0.9621320880879569
1700,-213415.63965265546,29485.8672844136,-183929.77236824186,235.83245194940463,0.9621320880879569
1750,-213173.2003486338,29726.563583042065,-183446.63676559174,237.75757756070735,0.9621320880879569
1800,-212683.14642305532,30101.09223270917,-182582.05419034616,240.75311467427844,0.9621320880879569
1850,-211986.99759390217,30156.1793358734,-181830.81825802877,241.1937097052707,0.9621320880879569
1900,-211926.23392778542,30780.418067218503,-181145.81586056692,246.186466038157,0.9621320880879569
1950,-211159.47028765036,30740.645364544383,-180418.82492310597,245.8683579119209,0.9621320880879569
2000,-210924.27075781766,31118.385170590365,-179805.8855872273,248.88957834269334,0.9621320880879569
