#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
50,-394003.83797696326,3498.668410207265,-390505.169566756,16.20801904892913,0.9580024802665849
100,-390930.81031748187,6411.113181250359,-384519.6971362315,29.700283760355173,0.9580024802665849
150,-388016.52388996165,9229.515488175697,-378787.008401786,42.75688499324695,0.9580024802665849
200,-385160.4780482687,11783.330273316737,-373377.147774952,54.58775143496004,0.9580024802665849
250,-382607.98541204724,14375.301434304623,-368232.6839777426,66.59538206065797,0.9580024802665849
300,-380261.1763747735,16908.84154006859,-363352.3348347049,78.33232351405385,0.9580024802665849
350,-377795.9292064784,19088.44550304918,-358707.4837034292,88.42961151312376,0.9580024802665849
400,-375579.5422624508,21475.807224656688,-354103.7350377941,99.4893633168697,0.9580024802665849
450,-373306.2834529793,23428.12745635939,-349878.1559966199,108.53373100050868,0.9580024802665849
500,-371273.4188950127,25508.550242712518,-345764.8686523002,118.17154979255595,0.9580024802665849
550,-369420.7108278079,27350.714024228975,-342069.9968035789,126.70560394154495,0.9580024802665849
600,-367385.1359803444,28972.00128031338,-338413.134700031,134.2164199576433,0.9580024802665849
650,-366139.03912203293,31158.364818413356,-334980.6743036196,144.34502253399012,0.9580024802665849
700,-363965.3613372119,32192.415797209367,-331772.94554000255,149.13539303980684,0.9580024802665849
750,-362504.38019352127,33896.64450406711,-328607.73568945413,157.03044570152673,0.9580024802665849
800,-360805.66795410216,35167.637182633975,-325638.0307714682,162.9184782699063,0.9580024802665849
850,-359400.7347100442,36852.750555510516,-322547.9841545337,170.72497675587462,0.9580024802665849
900,-357898.9711312009,38286.83984803135,-319612.13128316955,177.36857478969515,0.9580024802665849
950,-356153.2884052424,39148.148559910886,-317005.1398453315,181.3586951361744,0.9580024802665849
1000,-355213.0248015197,40457.092425910574,-314755.9323756091,187.4225413275444,0.9580024802665849
1050,-353754.2224501851,41571.74154290371,-312182.4809072814,192.58629279035492,0.9580024802665849
1100,-352717.74786468316,42602.44881047285,-310115.2990542103,197.3611731356577,0.9580024802665849
1150,-351503.90770792123,43532.6844925083,-307971.22321541293,201.67060629326608,0.9580024802665849
1200,-350580.5729068732,44554.00746508976,-306026.5654417834,206.4020127181832,0.9580024802665849
1250,-349146.3533917116,45213.52182500204,-303932.83156670956,209.45729548728315,0.9580024802665849
1300,-348017.8379490273,46143.59556874132,-301874.242380286,213.76597844547808,0.9580024802665849
1350,-346482.257633389,46552.19550611044,-299930.06212727854,215.65886876596366,0.9580024802665849
1400,-345690.84197285306,47490.91198476107,-298199.929988092,220.00759027473094,0.9580024802665849
1450,-345063.1973021617,48553.85825895815,-296509.33904320357,224.9318218509248,0.9580024802665849
1500,-343958.0106557412,48902.97564174514,-295055.03501399606,226.5491517968023,0.9580024802665849
1550,-343148.50380453,49567.97562011183,-293580.5281844182,229.62984737957296,0.9580024802665849
1600,-342253.06063396577,50384.69673090824,-291868.3639030575,233.41341008669633,0.9580024802665849
1650,-341579.29836407676,51193.97469330882,-290385.32367076795,237.16249147783338,0.9580024802665849
1700,-340353.664665821,51359.54581045557,-288994.11885536544,237.92952038884357,0.9580024802665849
1750,-339176.8295515664,51432.55928000109,-287744.2702715653,238.26776441956386,0.9580024802665849
1800,-338905.7671303367,52452.875151074026,-286452.8919792627,242.99450532076722,0.9580024802665849
1850,-338080.0677386122,52902.42478035344,-285177.64295825874,245.0771002113096,0.9580024802665849
1900,-337270.8687793715,52869.467921953474,-284401.400857418,244.92442344229056,0.9580024802665849
1950,-336830.32795675006,53708.90766984678,-283121.4202869033,248.81323307757606,0.9580024802665849
2000,-335943.56187284645,53835.54480475912,-282108.01706808736,249.3998954457424,0.9580024802665849
2050,-335532.56637024414,54510.80472645676,-281021.7616437874,252.5281214993813,0.9580024802665849
2100,-334716.3792526899,54699.59475151461,-280016.7845011753,253.4027149056779,0.9580024802665849
2150,-334507.8387502609,55315.213111638965,-279192.6256386219,256.2546439649325,0.9580024802665849
2200,-333747.87192045804,55417.519438304356,-278330.3524821537,256.7285908204221,0.9580024802665849
2250,-333486.585546392,55962.4218019633,-277524.1637444287,259.2529191803845,0.9580024802665849
2300,-332906.29931562766,56098.07102729322,-276808.22828833445,259.8813311847074,0.9580024802665849
2350,-332481.35012199637,56585.98359381873,-275895.36652817763,262.1416471807549,0.9580024802665849
2400,-331799.2720525735,56685.34330427321,-275113.9287483003,262.6019434680635,0.9580024802665849
2450,-331321.3530869065,56925.944309010054,-274395.40877789643,263.7165577186135,0.9580024802665849
2500,-330717.41519549023,57011.084035950946,-273706.3311595393,264.1109781535574,0.9580024802665849
2550,-330185.96640956076,57363.87150222459,-272822.09490733617,265.74531022026736,0.9580024802665849
2600,-329512.32085560914,57473.84775940236,-272038.4730962068,266.2547889882657,0.9580024802665849
2650,-329554.5303676482,57943.4494345634,-271611.0809330848,268.43027748960907,0.9580024802665849
2700,-329692.6995278029,58829.459421930835,-270863.24010587204,272.5348295845995,0.9580024802665849
2750,-328926.90320804436,58653.77345117001,-270273.12975687435,271.72094234898333,0.9580024802665849
2800,-327828.3332390571,58389.009568898764,-269439.32367015834,270.49439054578846,0.9580024802665849
2850,-327690.22217997676,58940.1343859772,-268750.0877939996,273.0475451995659,0.9580024802665849
2900,-326874.36608068924,59070.21662272798,-267804.14945796126,273.650167432937,0.9580024802665849
2950,-326752.1702078292,59500.01606061938,-267252.15414720983,275.6412670913782,0.9580024802665849
3000,-326005.5965522425,59536.47366840497,-266469.12288383755,275.81016151982516,0.9580024802665849
3050,-325449.0634185551,59420.67001211969,-266028.3934064354,275.2736865965282,0.9580024802665849
3100,-325109.0642275987,59561.89428127487,-265547.16994632385,275.9279256887383,0.9580024802665849
3150,-324790.3315667389,59864.86446054123,-264925.46710619767,277.3314729418819,0.9580024802665849
3200,-324842.5947189508,60310.79951050365,-264531.79520844715,279.39732284160067,0.9580024802665849
3250,-324089.8407276049,60026.518775844364,-264063.32195176056,278.0803567784097,0.9580024802665849
3300,-324574.1128952075,60397.966908273986,-264176.1459869335,279.80113671529773,0.9580024802665849
