#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
100,-394979.9970351276,6501.058384818287,-388478.93865030934,30.08915091297135,0.9525552254942915
200,-389256.8908124198,11851.738655275607,-377405.1521571442,54.85395329050741,0.9525552254942915
300,-384273.86513138795,16987.234826248954,-367286.630305139,78.6228090913191,0.9525552254942915
400,-379508.4268175983,21254.12352644789,-358254.30329115037,98.37144853269929,0.9525552254942915
500,-375811.1669771266,25902.099807741946,-349909.0671693847,119.88389335158664,0.9525552254942915
600,-371618.327831401,29393.064083355915,-342225.2637480451,136.04128568727728,0.9525552254942915
700,-368153.5994750133,32515.49818144244,-335638.1012935709,150.4929926604887,0.9525552254942915
800,-364813.45742332796,35750.89623418305,-329062.5611891449,165.46753595943602,0.9525552254942915
900,-361978.0274140113,38225.90451923735,-323752.12289477396,176.92273192779754,0.9525552254942915
1000,-359132.2864146405,40450.479263803456,-318681.80715083703,187.2188346920408,0.9525552254942915
1100,-356713.43406928936,42773.69257156737,-313939.741497722,197.97147090641093,0.9525552254942915
1200,-354502.78123527626,44597.06840055471,-309905.71283472155,206.41068606829688,0.9525552254942915
1300,-352114.29064405384,46054.290836452856,-306059.999807601,213.155216449673,0.9525552254942915
1400,-350002.08602781827,47742.84197258798,-302259.2440552303,220.97041621438933,0.9525552254942915
1500,-347831.0513153742,49115.651291081565,-298715.40002429264,227.3242534380865,0.9525552254942915
1600,-346191.1978132543,50619.956923079386,-295571.24089017493,234.2867011660006,0.9525552254942915
1700,-344213.2335460079,51328.99035469355,-292884.24319131434,237.5683535775528,0.9525552254942915
1800,-343385.6556134722,53007.5183325478,-290378.1372809244,245.33716269258014,0.9525552254942915
1900,-341582.2116087801,53648.79111221098,-287933.42049656913,248.3051953268856,0.9525552254942915
2000,-339968.00859832065,54441.651858872676,-285526.356739448,251.97482959981977,0.9525552254942915
2100,-338540.13996342034,55115.22670967411,-283424.9132537462,255.09236741247437,0.9525552254942915
2200,-336938.0179616385,55599.495101562585,-281338.52286007593,257.3337293359332,0.9525552254942915
2300,-335900.5265047359,56167.971099860384,-279732.55540487554,259.9648332409726,0.9525552254942915
2400,-335167.14302295307,57542.26740550436,-277624.8756174487,266.32555275646365,0.9525552254942915
2500,-334207.7541139242,57763.84066148751,-276443.9134524367,267.3510705633987,0.9525552254942915
2600,-332787.9510509684,57789.025570617,-274998.9254803514,267.4676350497747,0.9525552254942915
2700,-332541.08177907625,58495.7145462358,-274045.36723284045,270.7384365065934,0.9525552254942915
2800,-331609.4536054232,58897.882786431815,-272711.5708189914,272.59981047916386,0.9525552254942915
2900,-331062.0574621991,59546.80699671607,-271515.25046548306,275.6032565857119,0.9525552254942915
3000,-329814.28489914583,59582.02894351119,-270232.25595563464,275.76627596037895,0.9525552254942915
3100,-328400.87268262217,59251.73510291043,-269149.13757971174,274.23756161462416,0.9525552254942915
3200,-328444.90461751306,60448.878157055355,-267996.0264604577,279.778354496088,0.9525552254942915
3300,-327751.99789503263,60540.773690973,-267211.22420405963,280.203678870152,0.9525552254942915
3400,-326895.56400517747,60884.134737437824,-266011.42926773964,281.792872772616,0.9525552254942915
3500,-326355.0105030262,61308.279083002824,-265046.73142002337,283.75595977586335,0.9525552254942915
3600,-325974.3988045403,61621.77405390277,-264352.6247506375,285.20692313159844,0.9525552254942915
3700,-325052.8514857576,61197.383608483826,-263855.4678772738,283.24269709295004,0.9525552254942915
3800,-324541.4582418264,60755.640530482284,-263785.8177113441,281.1981570577785,0.9525552254942915
3900,-324994.0999853709,61355.55584683095,-263638.54413853993,283.9747730209225,0.9525552254942915
4000,-324726.1823652559,61739.93945408703,-262986.24291116884,285.7538335496219,0.9525552254942915
4100,-324402.17366381595,62181.30209636409,-262220.87156745186,287.79661279643426,0.9525552254942915
4200,-323793.0700615407,62126.938840483286,-261666.1312210574,287.54500081058626,0.9525552254942915
4300,-322998.16519499803,61944.74737997772,-261053.4178150203,286.7017555994667,0.9525552254942915
4400,-323174.77889687987,62872.17753577337,-260302.6013611065,290.99422372806293,0.9525552254942915
4500,-322453.91931495676,62601.86850993917,-259852.05080501758,289.7431398906286,0.9525552254942915
4600,-322045.8114783843,62204.823193917866,-259840.98828446644,287.9054765863038,0.9525552254942915
4700,-322058.7479856084,62980.73260751611,-259078.0153780923,291.4966542159453,0.9525552254942915
4800,-320712.34286938,62283.16087818146,-258429.18199119857,288.2680505341835,0.9525552254942915
4900,-321230.2179044089,63408.87588293248,-257821.34202147645,293.4782496522301,0.9525552254942915
5000,-320715.3780408208,62987.32322583569,-257728.05481498514,291.5271578812701,0.9525552254942915
5100,-320182.0962414616,63286.58503642399,-256895.5112050376,292.912245239093,0.9525552254942915
5200,-320182.6001671017,63550.8991664628,-256631.70100063892,294.13558262147075,0.9525552254942915
5300,-320377.40685910685,63568.39111420786,-256809.015744899,294.2165414168404,0.9525552254942915
5400,-319835.4505785131,63568.59458682465,-256266.85599168844,294.2174831586171,0.9525552254942915
5500,-319608.5856800913,63391.4767866733,-256217.108893418,293.3977206057114,0.9525552254942915
5600,-320031.7190047526,63984.40953311091,-256047.30947164167,296.14201881574854,0.9525552254942915
5700,-319942.5677122404,64211.462625270826,-255731.10508696956,297.1928992033498,0.9525552254942915
5800,-319290.78209720785,63989.43854326941,-255301.34355393844,296.1652948173847,0.9525552254942915
5900,-319623.8790697255,64360.709079734865,-255263.16998999065,297.88366351060193,0.9525552254942915
6000,-319219.6103105997,63847.66340409289,-255371.94690650678,295.50911034619895,0.9525552254942915
6100,-319593.200929089,64089.72916638106,-255503.47176270792,296.62947457325487,0.9525552254942915
6200,-318990.89224783937,63833.821805761196,-255157.07044207817,295.4450466328116,0.9525552254942915
6300,-319415.73530315096,64088.23000150442,-255327.50530164654,296.62253591872405,0.9525552254942915
6400,-319012.6544590937,63776.07035184279,-255236.5841072509,295.1777528923874,0.9525552254942915
