#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
100,-246074.67838202417,58.1559817692829,-246016.52240025488,0.46514038891522536,0.9621320880879569
200,-246175.5223644646,157.9875995663224,-246017.53476489827,1.2636088545043955,0.9621320880879569
300,-246256.83685417473,238.85921220323348,-246017.9776419715,1.9104323146149569,0.9621320880879569
400,-246329.30117244832,312.0839386687885,-246017.21723377952,2.4960948158778815,0.9621320880879569
500,-246378.1021061372,362.07848815335086,-246016.02361798385,2.8959588278577026,0.9621320880879569
600,-246424.3980937805,406.2247002544659,-246018.17339352603,3.2490469477919537,0.9621320880879569
700,-246479.34660666157,461.2381291807469,-246018.10847748083,3.6890527210217363,0.9621320880879569
800,-246545.74097622652,525.7259346146668,-246020.01504161186,4.204835998807724,0.9621320880879569
900,-246570.8210401293,551.1503875289335,-246019.67065260035,4.408184640799787,0.9621320880879569
1000,-246598.72760518081,580.7755436220923,-246017.95206155872,4.645131145830236,0.9621320880879569
1100,-246645.13499923144,627.2752496385226,-246017.8597495929,5.017042868114153,0.9621320880879569
1200,-246704.22094930243,685.9172647811251,-246018.3036845213,5.486070625884891,0.9621320880879569
1300,-246766.62041312922,748.9120307134963,-246017.70838241573,5.989912346615385,0.9621320880879569
1400,-246814.29756534565,796.7163128580692,-246017.58125248758,6.372258267225125,0.9621320880879569
1500,-246856.1099553043,842.2111711929356,-246013.89878411137,6.736133064893832,0.9621320880879569
1600,-246883.8314100355,868.8454589565399,-246014.98595107894,6.949158150051736,0.9621320880879569
1700,-246925.48053753842,909.967352553731,-246015.51318498468,7.278057310530371,0.9621320880879569
1800,-246971.7169376323,954.3083480120949,-246017.4085896202,7.632703337386466,0.9621320880879569
1900,-246965.3051301632,949.6134065248352,-246015.69172363836,7.595152481173912,0.9621320880879569
2000,-247005.8236074159,992.3788002117253,-246013.44480720416,7.937196605380228,0.9621320880879569
2100,-247052.64139350783,1039.815111566315,-246012.82628194152,8.316599439635736,0.9621320880879569
2200,-247128.66778734606,1114.9209867208692,-246013.7468006252,8.917307654274795,0.9621320880879569
2300,-247125.90318992734,1114.961599622542,-246010.9415903048,8.917632482440435,0.9621320880879569
2400,-247163.4615962552,1147.2547629629116,-246016.20683329226,9.175918115293017,0.9621320880879569
2500,-247171.75232715253,1155.9509433373096,-246015.8013838152,9.245471488795875,0.9621320880879569
2600,-247222.97403957602,1204.371678867201,-246018.6023607088,9.632747897356671,0.9621320880879569
2700,-247246.0231909044,1229.2349556749305,-246016.78823522947,9.831608167482187,0.9621320880879569
2800,-247313.0133079514,1299.091970678859,-246013.92133727254,10.390335200176638,0.9621320880879569
2900,-247324.4591898946,1314.9876626722835,-246009.4715272223,10.517471362802704,0.9621320880879569
3000,-247364.9492487535,1352.9634328698703,-246011.9858158836,10.821207349741037,0.9621320880879569
3100,-247423.5588571094,1407.4651706593995,-246016.09368645,11.257120539420299,0.9621320880879569
3200,-247428.63855525013,1414.412265461462,-246014.22628978867,11.312684460443625,0.9621320880879569
3300,-247424.7214926025,1413.02638090455,-246011.69511169795,11.30159994493581,0.9621320880879569
3400,-247494.87936692778,1481.571587604889,-246013.3077793229,11.84983493526505,0.9621320880879569
3500,-247562.03645610996,1548.6720175723785,-246013.36443853757,12.386514381504615,0.9621320880879569
3600,-247571.99238222558,1556.4927239935114,-246015.49965823206,12.449065581151611,0.9621320880879569
3700,-247595.29192912765,1579.4131162931826,-246015.87881283447,12.632386365428866,0.9621320880879569
3800,-247574.100719844,1562.2597928727228,-246011.84092697126,12.495191475337686,0.9621320880879569
3900,-247611.8039824115,1600.0925608351772,-246011.71142157633,12.79778370864584,0.9621320880879569
4000,-247692.99743349012,1681.5073360481983,-246011.4900974419,13.448951465666362,0.9621320880879569
4100,-247695.10831478145,1675.8097028315242,-246019.29861194993,13.403380928471856,0.9621320880879569
4200,-247750.35455476027,1733.5327516204852,-246016.82180313978,13.86505865355243,0.9621320880879569
4300,-247723.8128856523,1709.8380624704623,-246013.97482318184,13.67554492527954,0.9621320880879569
4400,-247747.86750771943,1736.8951170890177,-246010.97239063043,13.891951364054902,0.9621320880879569
4500,-247768.39205151517,1754.0923995101039,-246014.29965200508,14.02949784492016,0.9621320880879569
4600,-247800.48479217011,1785.843904095058,-246014.64088807505,14.283451208649458,0.9621320880879569
4700,-247839.3978496818,1823.1235717004565,-246016.27427798134,14.581619661163904,0.9621320880879569
4800,-247833.71465656627,1816.4816719107366,-246017.23298465554,14.528496736275752,0.9621320880879569
4900,-247855.11685207207,1839.1311186421226,-246015.98573342996,14.70965045668145,0.9621320880879569
5000,-247869.94714362826,1857.0150202611785,-246012.9321233671,14.852688622341015,0.9621320880879569
5100,-247864.72210088465,1847.2946698218475,-246017.4274310628,14.774943780861426,0.9621320880879569
5200,-247915.56285788957,1895.7124504874882,-246019.8504074021,15.16219655596845,0.9621320880879569
5300,-247922.82988970494,1905.4527441407772,-246017.37714556415,15.240100906307047,0.9621320880879569
5400,-247923.41845239513,1907.1332330046353,-246016.2852193905,15.253541711877206,0.9621320880879569
5500,-247940.78145347652,1926.2360485317695,-246014.54540494474,15.40632893639553,0.9621320880879569
5600,-247947.79673597403,1931.2652779677114,-246016.53145800633,15.446553478473739,0.9621320880879569
5700,-247954.96867447346,1937.8505883536418,-246017.11808611982,15.499223792701965,0.9621320880879569
5800,-247988.46235555317,1975.7564202965586,-246012.7059352566,15.802400402840394,0.9621320880879569
5900,-247984.88564288896,1971.7102871787056,-246013.17535571026,15.770038814663494,0.9621320880879569
6000,-247995.2740525985,1982.8937680443269,-246012.38028455418,15.859485995864869,0.9621320880879569
6100,-247997.15415972658,1980.9699273504666,-246016.1842323761,15.84409882533952,0.9621320880879569
6200,-247990.0785068823,1974.0719651344407,-246016.00654174786,15.788927874213398,0.9621320880879569
6300,-248030.51839181082,2017.4336883034412,-246013.08470350737,16.135741532331647,0.9621320880879569
6400,-248054.8415726386,2038.7157488759767,-246016.12582376262,16.305958690231215,0.9621320880879569
6500,-248081.57304975996,2060.8006212429063,-246020.77242851706,16.482596858986586,0.9621320880879569
6600,-248040.98696987983,2021.4169918214666,-246019.56997805837,16.167600599811447,0.9621320880879569
6700,-248083.2802834455,2065.9055797905785,-246017.3747036549,16.52342709402037,0.9621320880879569
6800,-248067.06514598895,2052.434015807443,-246014.63113018151,16.41567947598047,0.9621320880879569
6900,-248116.0381226791,2100.6437085693833,-246015.39441410973,16.801267932379236,0.9621320880879569
7000,-248094.11009346833,2072.578123787476,-246021.53196968086,16.576795115939145,0.9621320880879569
7100,-248082.5327405529,2063.579736248932,-246018.95300430397,16.504824643565502,0.9621320880879569
7200,-248114.851383565,2097.181330948595,-246017.6700526164,16.773575309469113,0.9621320880879569
7300,-248151.7664306718,2135.1782673616,-246016.5881633102,17.077480587018172,0.9621320880879569
7400,-248143.39553460572,2125.1964931278344,-246018.19904147787,16.997644838262747,0.9621320880879569
7500,-248136.5101589905,2116.378951784034,-246020.13120720646,16.9271208012651,0.9621320880879569
7600,-248142.00966734905,2122.9211676714112,-246019.08849967763,16.979446439138336,0.9621320880879569
7700,-248168.8574233586,2154.4536092825147,-246014.4038140761,17.231647703878778,0.9621320880879569
7800,-248208.21195302345,2192.29056331006,-246015.9213897134,17.53427341797231,0.9621320880879569
7900,-248181.1573391389,2162.7067397800856,-246018.45059935882,17.29765749706975,0.9621320880879569
8000,-248172.90440877946,2150.2005212519507,-246022.70388752752,17.197630858827903,0.9621320880879569
8100,-248154.3577781734,2137.563551681422,-246016.794226492,17.09655845385906,0.9621320880879569
8200,-248165.18352370174,2149.5608708267446,-246015.622652875,17.192514837423083,0.9621320880879569
8300,-248184.80766624399,2169.6536229882695,-246015.15404325572,17.353219725733044,0.9621320880879569
8400,-248210.02452813555,2191.192343652765,-246018.83218448277,17.525489690091405,0.9621320880879569
8500,-248242.64629853796,2222.3327770323676,-246020.3135215056,17.774555613363766,0.9621320880879569
8600,-248219.96791903302,2203.4837608465605,-246016.48415818647,17.62379831458549,0.9621320880879569
8700,-248222.00836870912,2206.154224423939,-246015.8541442852,17.64515708850996,0.9621320880879569
8800,-248247.63271717262,2229.2507379538074,-246018.3819792188,17.829886517178007,0.9621320880879569
8900,-248270.19457045104,2248.4557948063593,-246021.73877564468,17.983491483370038,0.9621320880879569
9000,-248240.79940216895,2218.7309271742997,-246022.06847499465,17.745747470283273,0.9621320880879569
9100,-248208.5718083689,2191.4591773604116,-246017.1126310085,17.527623866676073,0.9621320880879569
9200,-248231.76374822576,2219.665502611184,-246012.09824561456,17.753222346795678,0.9621320880879569
9300,-248270.09635319747,2255.0340540337347,-246015.06229916372,18.036105401359514,0.9621320880879569
9400,-248258.32815422025,2241.8225872323674,-246016.50556698788,17.930438080145542,0.9621320880879569
9500,-248244.59406601533,2226.352214613128,-246018.2418514022,17.80670368657406,0.9621320880879569
9600,-248295.55626616906,2275.1474084019355,-246020.40885776712,18.196975069252492,0.9621320880879569
9700,-248256.2333471086,2239.978055785301,-246016.2552913233,17.91568523704062,0.9621320880879569
9800,-248294.06834405102,2275.2650617423533,-246018.80328230865,18.197916078566653,0.9621320880879569
9900,-248347.64566828823,2326.811851573315,-246020.8338167149,18.610195144964752,0.9621320880879569
10000,-248303.01706338767,2282.9635898640627,-246020.0534735236,18.259490077589017,0.9621320880879569
10100,-248279.92426081235,2260.6888843033157,-246019.23537650902,18.081333594071957,0.9621320880879569
10200,-248316.52451387513,2295.9326069833114,-246020.59190689182,18.363218249363808,0.9621320880879569
10300,-248321.70222349092,2303.445189322192,-246018.25703416872,18.423305025728926,0.9621320880879569
10400,-248325.29321653862,2306.343492203101,-246018.9497243355,18.446486093062088,0.9621320880879569
10500,-248361.10578289162,2341.375950290996,-246019.72983260063,18.726681022008616,0.9621320880879569
10600,-248340.77200121898,2327.4104879824263,-246013.36151323657,18.61498313002977,0.9621320880879569
10700,-248336.78287699958,2319.455460623256,-246017.32741637633,18.551357611087365,0.9621320880879569
10800,-248356.10757375974,2337.675333242082,-246018.43224051766,18.697082923911214,0.9621320880879569
10900,-248378.13798571285,2357.9736037330076,-246020.16438197985,18.8594315790833,0.9621320880879569
11000,-248368.3109550299,2349.506909371252,-246018.80404565868,18.79171366961911,0.9621320880879569
11100,-248389.35230835248,2374.3672407564336,-246014.98506759605,18.99055038180703,0.9621320880879569
11200,-248361.4437519284,2341.1397382245123,-246020.3040137039,18.72479176196815,0.9621320880879569
11300,-248389.37517881952,2371.0971849602392,-246018.2779938593,18.964395978106122,0.9621320880879569
