#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
100,-396103.0807489222,78.63420369446601,-396024.4465452277,0.36428278474717635,0.9580024802665849
200,-396247.93843455147,226.4769603757944,-396021.4614741757,1.0491828483102763,0.9580024802665849
300,-396361.5973174921,340.52830068053515,-396021.0690168116,1.57753994863509,0.9580024802665849
400,-396478.64611385483,458.2625702474263,-396020.38354360743,2.1229586794541344,0.9580024802665849
500,-396565.2744029197,546.9100001649142,-396018.36440275476,2.5336289872059163,0.9580024802665849
600,-396625.17348071,605.8110568329455,-396019.36242387706,2.806495499988975,0.9580024802665849
700,-396729.1211476887,708.6659333029141,-396020.4552143858,3.282983581064868,0.9580024802665849
800,-396857.0789704211,832.5678633345647,-396024.51110708655,3.8569747704823034,0.9580024802665849
900,-396931.32501941454,907.3304128548734,-396023.9946065597,4.203321632973307,0.9580024802665849
1000,-397000.69608099665,979.3030455458717,-396021.3930354508,4.536743856769637,0.9580024802665849
1100,-397113.54684401955,1089.702202500188,-396023.84464151936,5.048181760882211,0.9580024802665849
1200,-397221.8339817703,1202.9047550260348,-396018.9292267443,5.572606745648811,0.9580024802665849
1300,-397288.7109372346,1272.4602160386432,-396016.25072119595,5.894831119287757,0.9580024802665849
1400,-397322.56859072763,1301.9259066579766,-396020.64268406964,6.03133461686263,0.9580024802665849
1500,-397373.50737376045,1351.8995232861316,-396021.6078504743,6.2628436469524615,0.9580024802665849
1600,-397433.5126318587,1413.758416364801,-396019.7542154939,6.549412706895283,0.9580024802665849
1700,-397506.856505367,1490.4233337596324,-396016.4331716073,6.904572526526888,0.9580024802665849
1800,-397578.99820222054,1563.132426335785,-396015.86577588477,7.241406492862904,0.9580024802665849
1900,-397688.9559280686,1673.5901918458399,-396015.36573622277,7.753115908441116,0.9580024802665849
2000,-397706.74265430775,1691.2937568331963,-396015.44889747456,7.835129887734464,0.9580024802665849
2100,-397794.9173260955,1774.5244318449277,-396020.3928942506,8.22070640081861,0.9580024802665849
2200,-397856.0628851494,1838.8391962044102,-396017.223688945,8.518652591667868,0.9580024802665849
2300,-397883.5847069444,1863.8462406639019,-396019.7384662805,8.634500853187697,0.9580024802665849
2400,-397960.6072613904,1942.3322415950734,-396018.27501979534,8.998097070095643,0.9580024802665849
2500,-397982.6088317679,1969.9450831547038,-396012.6637486132,9.126017012633735,0.9580024802665849
2600,-398046.4053108087,2030.6729605621458,-396015.7323502465,9.40734650100401,0.9580024802665849
2700,-398050.9108089926,2030.6857072006187,-396020.22510179196,9.407405551401178,0.9580024802665849
2800,-398101.20055943634,2081.5484487432623,-396019.6521106931,9.643033563875525,0.9580024802665849
2900,-398160.3392731175,2142.231262820482,-396018.108010297,9.9241542907317,0.9580024802665849
3000,-398216.7334934529,2194.188059250133,-396022.54543420277,10.164850649322375,0.9580024802665849
3100,-398229.5354985269,2206.2959918798056,-396023.23950664705,10.220942161776756,0.9580024802665849
3200,-398260.34354001377,2234.460438195152,-396025.8831018186,10.351417482344397,0.9580024802665849
3300,-398334.3621446928,2311.5972056139844,-396022.7649390788,10.708763206234588,0.9580024802665849
3400,-398414.3864560351,2388.509040468034,-396025.87741556705,11.065066901882235,0.9580024802665849
3500,-398436.30286645424,2410.4475741469214,-396025.85529230733,11.166699903379484,0.9580024802665849
3600,-398483.8287330428,2464.0517868829993,-396019.77694615984,11.415028124080381,0.9580024802665849
3700,-398533.79081682954,2518.227495254807,-396015.5633215747,11.666003869800585,0.9580024802665849
3800,-398622.4014184652,2605.098421698558,-396017.30299676664,12.06844430299243,0.9580024802665849
3900,-398685.1162826298,2664.346009680781,-396020.770272949,12.342916165435115,0.9580024802665849
4000,-398684.90512888227,2663.6496894755055,-396021.2554394068,12.33969037498343,0.9580024802665849
4100,-398700.8848882513,2679.1720497170427,-396021.71283853427,12.411599650450968,0.9580024802665849
4200,-398783.49764973205,2764.2116691288884,-396019.28598060313,12.80555632474444,0.9580024802665849
4300,-398815.5153841851,2796.11739301515,-396019.39799117,12.953363581645293,0.9580024802665849
4400,-398858.5265506068,2837.6326798000982,-396020.8938708067,13.145688340707652,0.9580024802665849
4500,-398846.71365696564,2825.4562411481247,-396021.2574158175,13.089279465535737,0.9580024802665849
4600,-398858.19740681816,2833.713969188693,-396024.4834376295,13.127534423619771,0.9580024802665849
4700,-398904.8827688815,2883.3876905576853,-396021.4950783238,13.35765415140847,0.9580024802665849
4800,-398908.4070059927,2888.60507221027,-396019.80193378247,13.381824324541745,0.9580024802665849
4900,-398929.1109447377,2908.851786122912,-396020.2591586148,13.475619759346863,0.9580024802665849
5000,-398958.75268416386,2934.554160104315,-396024.19852405955,13.594689221853772,0.9580024802665849
5100,-398988.764798495,2966.3097418426296,-396022.45505665237,13.741800926473397,0.9580024802665849
5200,-399022.229135721,2996.058528865997,-396026.170606855,13.879615903551693,0.9580024802665849
5300,-399092.27468286734,3069.5077136334476,-396022.76696923387,14.219878439539958,0.9580024802665849
5400,-399041.0715305349,3016.991744088571,-396024.0797864463,13.9765916415476,0.9580024802665849
5500,-399096.66619756166,3078.875657226521,-396017.7905403351,14.26327661004473,0.9580024802665849
5600,-399100.32024081703,3079.803803836665,-396020.51643698034,14.267576365315483,0.9580024802665849
5700,-399135.989921934,3114.059291096476,-396021.9306308375,14.426269194969631,0.9580024802665849
5800,-399189.2725923015,3164.2817501904865,-396024.990842111,14.658931018909545,0.9580024802665849
5900,-399201.52545016725,3180.9313689376413,-396020.5940812296,14.736062460409974,0.9580024802665849
6000,-399225.4013784593,3202.354322646521,-396023.0470558128,14.835306973203707,0.9580024802665849
6100,-399217.4233673094,3199.3792150760755,-396018.0441522333,14.821524415235736,0.9580024802665849
6200,-399283.3957766732,3265.4012559579714,-396017.99452071526,15.127379778133516,0.9580024802665849
6300,-399287.11802766565,3263.5439540755724,-396023.5740735901,15.118775594838606,0.9580024802665849
6400,-399318.81235702615,3291.137260447589,-396027.67509657855,15.246605038176476,0.9580024802665849
6500,-399351.5993489949,3329.5458913441144,-396022.05345765076,15.42453782523282,0.9580024802665849
6600,-399402.37715811934,3374.496171843519,-396027.88098627585,15.63277562235115,0.9580024802665849
6700,-399391.2355495235,3368.647017852221,-396022.58853167127,15.605678684832155,0.9580024802665849
6800,-399393.53409065586,3368.562226001266,-396024.97186465457,15.60528587597623,0.9580024802665849
6900,-399449.6165815471,3425.9667852670736,-396023.64979628,15.871219677350814,0.9580024802665849
7000,-399399.122051361,3375.2092226030254,-396023.912828758,15.636078919188092,0.9580024802665849
7100,-399460.89203830156,3438.5949408711554,-396022.2970974304,15.929721187807381,0.9580024802665849
7200,-399475.1381749818,3452.848134604901,-396022.2900403769,15.995750890671088,0.9580024802665849
7300,-399532.1806553481,3508.6571270408895,-396023.5235283072,16.254293029121545,0.9580024802665849
7400,-399469.0588452844,3442.0290712903816,-396027.029773994,15.945630226540212,0.9580024802665849
7500,-399473.70268832054,3444.677104951683,-396029.02558336884,15.957897573711314,0.9580024802665849
7600,-399498.7972292779,3475.0848196098495,-396023.7124096681,16.098765115481232,0.9580024802665849
7700,-399583.4943091599,3559.015736616373,-396024.47857254354,16.487585587197568,0.9580024802665849
7800,-399560.27413768973,3539.7396370059796,-396020.5345006838,16.398286644559043,0.9580024802665849
