#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
100,-393748.53677996434,3274.183812205356,-390474.352967759,15.168066068534916,0.9580024802665849
200,-390931.94564214116,6040.525111442874,-384891.42053069826,27.983488171147055,0.9580024802665849
300,-388543.0127823418,8705.483823475064,-379837.5289588667,40.32924275686629,0.9580024802665849
400,-386363.96984267514,11078.81618170855,-375285.1536609666,51.324001779888256,0.9580024802665849
500,-384314.6205391167,13056.34104745998,-371258.2794916567,60.48513308353513,0.9580024802665849
600,-382585.0024829088,14948.500795935004,-367636.5016869738,69.25079980331535,0.9580024802665849
700,-380984.3682417339,16674.76927144923,-364309.5989702846,77.24795445022939,0.9580024802665849
800,-379741.24952341896,18374.381253712025,-361366.86826970696,85.12161955777003,0.9580024802665849
900,-378222.63870952185,19545.1668708895,-358677.47183863237,90.54543037964228,0.9580024802665849
1000,-377163.15399152506,21073.85452627152,-356089.29946525354,97.62726716246182,0.9580024802665849
1100,-376083.3241652278,22100.75168710813,-353982.5724781197,102.38449671173055,0.9580024802665849
1200,-375347.82085630205,23144.353929340083,-352203.46692696196,107.2191146401551,0.9580024802665849
1300,-374548.6783678634,24082.89790532866,-350465.78046253475,111.56703700876258,0.9580024802665849
1400,-373533.94845234975,24879.950557388627,-348653.99789496115,115.25948312051688,0.9580024802665849
1500,-372967.0426592538,25735.841232637627,-347231.2014266162,119.22450373457811,0.9580024802665849
1600,-372453.81184954476,26497.258439487254,-345956.5534100575,122.75186418885735,0.9580024802665849
1700,-371874.5436058538,26974.716579977656,-344899.82702587615,124.96374874858225,0.9580024802665849
1800,-371568.3365582777,27472.12806625449,-344096.20849202323,127.26806967857102,0.9580024802665849
1900,-371353.58619209006,28080.184540780523,-343273.40165130957,130.08496735689624,0.9580024802665849
2000,-370873.4209838109,28466.425486826047,-342406.99549698486,131.87427685325156,0.9580024802665849
2100,-370949.4505354045,29205.572950042348,-341743.8775853622,135.2984699344895,0.9580024802665849
2200,-370427.3416124778,29329.182305659517,-341098.15930681827,135.87110573633456,0.9580024802665849
2300,-369975.7309393501,29460.21000900987,-340515.5209303402,136.47810796199389,0.9580024802665849
2400,-369790.2754240176,29826.42569518619,-339963.8497288314,138.1746479371014,0.9580024802665849
2500,-369821.5664073145,30258.70824985113,-339562.8581574634,140.1772509446022,0.9580024802665849
2600,-369267.0810354939,30174.4306888566,-339092.6503466373,139.7868246012507,0.9580024802665849
2700,-369390.95702821016,30614.504015299797,-338776.4530129104,141.82551933354011,0.9580024802665849
2800,-369479.4536539046,30963.370618641376,-338516.08303526323,143.44168751226746,0.9580024802665849
2900,-369466.7133852346,31193.738600495402,-338272.9747847392,144.50889600429264,0.9580024802665849
3000,-369282.1007349258,31266.984138441854,-338015.116596484,144.848215120909,0.9580024802665849
3100,-369227.2300143745,31545.55156395017,-337681.67845042434,146.13871356479623,0.9580024802665849
3200,-369027.3743202826,31432.04763672891,-337595.3266835537,145.61289242405505,0.9580024802665849
3300,-369231.73521213327,31827.992432660947,-337403.7427794723,147.44715621883705,0.9580024802665849
3400,-368894.7150426237,31779.52496667055,-337115.19007595314,147.2226246199768,0.9580024802665849
3500,-369070.52890568227,31916.1882879482,-337154.34061773407,147.85573455062809,0.9580024802665849
3600,-369567.4321082346,32309.676221251022,-337257.7558869836,149.6786166219582,0.9580024802665849
3700,-369276.13728806097,32009.785711073637,-337266.3515769873,148.28933632109647,0.9580024802665849
3800,-369619.9415962426,32297.165951890347,-337322.77564435225,149.6206612342703,0.9580024802665849
3900,-369763.47354133707,32326.021481659962,-337437.4520596771,149.7543380853855,0.9580024802665849
4000,-369657.268729656,32149.890534629347,-337507.37819502666,148.93838944153876,0.9580024802665849
4100,-369852.53217352834,32357.97003167781,-337494.56214185053,149.90234373969795,0.9580024802665849
4200,-369928.21011765767,32401.026577457786,-337527.1835401999,150.10180857384657,0.9580024802665849
4300,-370118.9817589028,32748.242046545965,-337370.7397123568,151.71032766660926,0.9580024802665849
4400,-370098.8950390881,32546.296963642817,-337552.5980754453,150.7747918093149,0.9580024802665849
4500,-370029.40702634305,32459.425304641976,-337569.9817217011,150.37234798246072,0.9580024802665849
4600,-370132.8015480228,32567.72225921543,-337565.07928880735,150.87404717108532,0.9580024802665849
4700,-370122.6583389761,32661.948087003795,-337460.7102519723,151.31056010476013,0.9580024802665849
4800,-370274.48971895594,32754.13915711711,-337520.35056183883,151.73764676898313,0.9580024802665849
4900,-370351.19385203253,32734.265874279503,-337616.92797775305,151.64558130034456,0.9580024802665849
5000,-370160.3002982093,32484.193456912762,-337676.10684129654,150.487089546034,0.9580024802665849
5100,-370446.7526344415,32510.081982760108,-337936.6706516814,150.60702138034512,0.9580024802665849
5200,-370696.1641234867,32612.126289649983,-338084.03783383674,151.07975439644937,0.9580024802665849
5300,-370597.61807777826,32276.75920761522,-338320.85887016304,149.5261244387932,0.9580024802665849
5400,-370712.87841063086,32490.349884740877,-338222.52852588997,150.5156099680381,0.9580024802665849
5500,-370863.46931782924,32736.491075344093,-338126.97824248514,151.65588982262048,0.9580024802665849
5600,-370953.12831642013,32892.09205748164,-338061.0362589385,152.3767308360642,0.9580024802665849
5700,-370940.638380955,32972.58396014164,-337968.05442081334,152.74961964364357,0.9580024802665849
5800,-370770.9052754096,32684.37840057163,-338086.52687483793,151.4144713381083,0.9580024802665849
5900,-371316.6239253441,32840.139611412014,-338476.4843139321,152.13605463106052,0.9580024802665849
6000,-371162.7066239142,32551.207021087524,-338611.49960282666,150.79753826461288,0.9580024802665849
6100,-371677.28658641037,32961.378313811874,-338715.9082725985,152.69770808533798,0.9580024802665849
6200,-371417.55620028265,32491.607081715105,-338925.9491185675,150.52143409028048,0.9580024802665849
6300,-371452.18899857905,32544.4673945572,-338907.72160402185,150.76631610167013,0.9580024802665849
6400,-371497.9546573078,32550.05473165383,-338947.899925654,150.79220013967463,0.9580024802665849
6500,-371577.30373868067,32595.531655366067,-338981.7720833146,151.00287767735276,0.9580024802665849
6600,-371887.8245925894,32931.614493321336,-338956.21009926806,152.55982346384255,0.9580024802665849
6700,-371616.98751724977,32762.39504474186,-338854.5924725079,151.77589320111068,0.9580024802665849
6800,-371941.84303229116,33048.999207943285,-338892.8438243479,153.10362283765429,0.9580024802665849
6900,-372198.66353829484,33145.16649707637,-339053.49704121845,153.54912983386046,0.9580024802665849
7000,-372071.47222301643,32777.6188400368,-339293.85338297964,151.84641933711643,0.9580024802665849
7100,-371825.0943606561,32482.42017683189,-339342.6741838242,150.47887460424474,0.9580024802665849
7200,-371829.70563549455,32416.65657898248,-339413.04905651207,150.17421651102288,0.9580024802665849
7300,-372357.71225560457,32890.861343948985,-339466.8509116556,152.37102940167767,0.9580024802665849
7400,-372537.60103267897,32900.69321723355,-339636.90781544545,152.41657678450994,0.9580024802665849
7500,-372424.45862962585,32996.14486325451,-339428.31376637134,152.85876847448142,0.9580024802665849
7600,-372320.99552240875,32732.850637135503,-339588.14488527324,151.63902503724694,0.9580024802665849
7700,-372087.6554819895,32473.956846145913,-339613.6986358436,150.4396671661876,0.9580024802665849
7800,-372436.29618979525,32720.874823789753,-339715.4213660055,151.58354558390175,0.9580024802665849
7900,-372713.01136467885,32913.05526273954,-339799.9561019393,152.47384550665012,0.9580024802665849
8000,-372726.13073539035,32805.4108726253,-339920.71986276505,151.97516940451032,0.9580024802665849
8100,-372599.77710436564,32681.67240407382,-339918.1047002918,151.4019354708467,0.9580024802665849
8200,-372623.81772176083,32676.96575495042,-339946.8519668104,151.38013133004094,0.9580024802665849
8300,-373114.902494533,33149.404479036806,-339965.4980154962,153.56876281540949,0.9580024802665849
8400,-372762.7176132174,32908.04072509028,-339854.6768881271,152.45061503373546,0.9580024802665849
8500,-372764.2101711249,32867.28469336114,-339896.92547776375,152.26180761869222,0.9580024802665849
8600,-372940.2144015366,32968.57523201336,-339971.63916952326,152.73104870914875,0.9580024802665849
8700,-372698.93288422143,32655.746597687597,-340043.18628653383,151.2818309297759,0.9580024802665849
8800,-372779.72167879995,32667.065778942895,-340112.65589985705,151.3342684528258,0.9580024802665849
8900,-372752.819899085,32658.621091617228,-340094.19880746776,151.29514738246732,0.9580024802665849
9000,-372693.1786544351,32641.176251574652,-340052.00240286044,151.21433197884386,0.9580024802665849
9100,-372992.5714317532,32893.94939170114,-340098.6220400521,152.3853351691648,0.9580024802665849
9200,-373021.56020383444,32838.92627923004,-340182.6339246044,152.1304337179552,0.9580024802665849
9300,-373067.83670063224,32778.25007732713,-340289.5866233051,151.84934362282362,0.9580024802665849
9400,-373421.96349921636,32882.324838044995,-340539.63866117137,152.33148297026978,0.9580024802665849
9500,-373654.09168979665,32898.404053819424,-340755.6876359772,152.40597194864895,0.9580024802665849
9600,-373278.8653436899,32580.555405912688,-340698.30993777723,150.9334983284228,0.9580024802665849
9700,-373176.7883529486,32746.43871786946,-340430.34963507915,151.70197352094198,0.9580024802665849
9800,-373036.1189397527,32555.72892373521,-340480.3900160175,150.81848654426042,0.9580024802665849
9900,-373322.19851747155,32681.011903854684,-340641.1866136169,151.3988756209614,0.9580024802665849
10000,-373424.28552889917,32630.17664833227,-340794.1088805669,151.16337494091394,0.9580024802665849
10100,-373413.07390322816,32824.14653906785,-340588.9273641603,152.0619647228975,0.9580024802665849
10200,-373657.09870337043,33045.367719288915,-340611.7309840815,153.08679951221018,0.9580024802665849
10300,-373548.96705080476,33017.255584189086,-340531.71146661567,152.9565665298919,0.9580024802665849
10400,-373313.9975897828,32665.62569043308,-340648.37189934973,151.32759706266745,0.9580024802665849
10500,-373277.7920884611,32676.62994505436,-340601.16214340675,151.37857564869194,0.9580024802665849
10600,-373584.37106101494,32800.749918401125,-340783.6211426138,151.95357695104107,0.9580024802665849
10700,-373736.42264803033,32716.130661661096,-341020.29198636924,151.5615676594068,0.9580024802665849
10800,-373865.0953166997,32989.50785245933,-340875.5874642404,152.82802169176762,0.9580024802665849
10900,-373685.89773864206,32722.177394606057,-340963.720344036,151.58957990614323,0.9580024802665849
11000,-373449.85448775534,32478.518249009445,-340971.3362387459,150.46079843552602,0.9580024802665849
11100,-373946.6738417598,32973.004111343645,-340973.66973041615,152.75156604664244,0.9580024802665849
11200,-373616.9271160206,32768.49239194172,-340848.43472407886,151.80413992471412,0.9580024802665849
11300,-373773.7520568082,32684.63058975304,-341089.12146705517,151.41563963603684,0.9580024802665849
11400,-373676.16887219343,32560.435440744215,-341115.7334314492,150.84029007302968,0.9580024802665849
11500,-373753.5458712736,32641.886872074392,-341111.6589991992,151.21762401719843,0.9580024802665849
11600,-373841.0432449868,32396.736289504042,-341444.30695548275,150.0819332782407,0.9580024802665849
11700,-374366.74125029054,32781.892322712636,-341584.8489275779,151.86621678017028,0.9580024802665849
11800,-374337.75770215224,32700.052199643455,-341637.7055025088,151.48708217290022,0.9580024802665849
11900,-374302.87491648924,32712.436668136186,-341590.4382483531,151.5444547723313,0.9580024802665849
12000,-374226.3398675909,32671.971853578605,-341554.36801401235,151.35699645726288,0.9580024802665849
12100,-374120.02947128844,32240.112353887234,-341879.9171174012,149.3563533048459,0.9580024802665849
12200,-374228.03642128594,32433.472424558597,-341794.56399672735,150.2521180191013,0.9580024802665849
12300,-374494.7331802491,32471.60016007829,-342023.13302017085,150.42874952318806,0.9580024802665849
12400,-374227.104489374,32211.10394755425,-342016.0005418197,149.22196823392795,0.9580024802665849
12500,-374624.9310506368,32519.669501819648,-342105.26154881716,150.65143676166437,0.9580024802665849
