#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
100,-389444.8073901632,12958.130392016807,-376486.6769981464,59.97471762842082,0.9525552254942915
200,-377470.85874619894,23473.826216064277,-353997.03253013466,108.64500173839978,0.9525552254942915
300,-366728.7762382538,33336.72385864971,-333392.0523796041,154.29390966083454,0.9525552254942915
400,-356649.0864468687,41726.27351555799,-314922.81293131073,193.12365256978643,0.9525552254942915
500,-346946.52355398843,48818.040385147964,-298128.48316884047,225.94680703906715,0.9525552254942915
600,-338536.11074437806,55849.00802529245,-282687.10271908564,258.48856160668726,0.9525552254942915
700,-329939.5828284756,61612.769750762425,-268326.8130777132,285.16524809654743,0.9525552254942915
800,-322006.725058245,66449.56816420238,-255557.15689404262,307.55162717252665,0.9525552254942915
900,-314247.7915308424,71179.01384046406,-243068.77769037837,329.4411405816137,0.9525552254942915
1000,-307216.9973666207,75362.72909254546,-231854.26827407524,348.80482448433804,0.9525552254942915
1100,-300986.75646191696,79658.24133932212,-221328.51512259484,368.68594361774086,0.9525552254942915
1200,-294449.35179382237,82934.76157230877,-211514.5902215136,383.85081461627976,0.9525552254942915
1300,-288341.0322963097,86056.28560773516,-202284.74668857455,398.29830950415067,0.9525552254942915
1400,-283681.6873174519,89903.50714633148,-193778.18017112045,416.10458390106857,0.9525552254942915
1500,-278854.8301183977,92418.84434694378,-186435.98577145394,427.7464360651681,0.9525552254942915
1600,-274408.1549850651,94648.59279237967,-179759.56219268544,438.06648450979674,0.9525552254942915
1700,-271369.1087710266,97565.20513260365,-173803.90363842295,451.5655770674906,0.9525552254942915
1800,-268146.75867180387,100662.66572340351,-167484.09294840036,465.9016979953083,0.9525552254942915
1900,-265334.32147985185,103276.08347216975,-162058.23800768208,477.9975009225517,0.9525552254942915
2000,-262264.9560487927,105062.59805109794,-157202.35799769475,486.26610944622314,0.9525552254942915
2100,-259267.17176077003,107241.88100689673,-152025.2907538733,496.3525861178103,0.9525552254942915
2200,-257215.7216483825,109309.04854358826,-147906.67310479423,505.9201537802018,0.9525552254942915
2300,-255756.6917592869,111450.05683841463,-144306.63492087228,515.8294820581011,0.9525552254942915
2400,-253218.04081296036,112316.15444717591,-140901.88636578445,519.8380819064334,0.9525552254942915
2500,-250947.96355740586,113531.29394509131,-137416.66961231455,525.4621685656875,0.9525552254942915
2600,-249836.1745669567,116128.22977323201,-133707.9447937247,537.481687453059,0.9525552254942915
2700,-246797.6945018717,116262.96057930519,-130534.73392256652,538.1052683096821,0.9525552254942915
2800,-246828.43368249247,119400.12211643602,-127428.31156605645,552.625138974055,0.9525552254942915
2900,-244769.0932446015,119267.82916002342,-125501.26408457808,552.0128413304102,0.9525552254942915
3000,-243631.83933082828,119739.06877813488,-123892.7705526934,554.1939015741758,0.9525552254942915
3100,-243656.08311359957,121616.14893548563,-122039.93417811394,562.8816789770317,0.9525552254942915
3200,-242842.11686096946,122077.77676667226,-120764.3400942972,565.0182525402902,0.9525552254942915
3300,-241466.64066294068,122790.32800461748,-118676.31265832321,568.3161865785117,0.9525552254942915
3400,-239940.20004940266,122182.48263229756,-117757.7174171051,565.502867568457,0.9525552254942915
3500,-240860.7583734044,124044.4250011777,-116816.33337222668,574.1205820408145,0.9525552254942915
3600,-240712.58765194053,124873.07473455742,-115839.51291738311,577.9558601456662,0.9525552254942915
3700,-238904.8162751547,124285.76865765324,-114619.04761750146,575.2376041119497,0.9525552254942915
3800,-238191.1564129279,124651.35730936774,-113539.79910356016,576.9296750736867,0.9525552254942915
3900,-237639.17106350372,124742.24785659835,-112896.92320690537,577.350348021121,0.9525552254942915
