#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
100,-239256.20551432623,7551.0327825781715,-231705.17273174805,60.394308862913306,0.9621320880879569
200,-232412.63837755192,13582.164563008933,-218830.473814543,108.63221830235585,0.9621320880879569
300,-226291.6270169476,18773.757087593607,-207517.869929354,150.15536506230208,0.9621320880879569
400,-220767.65911921114,24019.879964574182,-196747.77915463696,192.11465387590223,0.9621320880879569
500,-215090.89975088078,28225.282522875117,-186865.61722800566,225.75010326567357,0.9621320880879569
600,-210054.14697720204,31713.11245669797,-178341.03452050406,253.64629764727053,0.9621320880879569
700,-205249.94683770835,34864.61288287956,-170385.3339548288,278.85247746409664,0.9621320880879569
800,-200182.85535054933,38480.45411787642,-161702.4012326729,307.7725257056429,0.9621320880879569
900,-195164.0813579932,40837.503909369465,-154326.57744862372,326.6245684939001,0.9621320880879569
1000,-190922.5902522877,43165.69583508023,-147756.89441720746,345.2458016817539,0.9621320880879569
1100,-186875.61409410927,45293.527315582964,-141582.0867785263,362.2645215498771,0.9621320880879569
1200,-183653.7366812667,47741.51464784006,-135912.22203342663,381.84389662264095,0.9621320880879569
1300,-180337.49706110824,49282.02267577674,-131055.4743853315,394.165114173128,0.9621320880879569
1400,-177295.77044450026,51042.15808833926,-126253.612356161,408.24294495570837,0.9621320880879569
1500,-174781.81157945003,53302.99852216069,-121478.81305728934,426.32549066588,0.9621320880879569
1600,-172432.48468189966,54960.26099887071,-117472.22368302895,439.5805280584164,0.9621320880879569
1700,-169476.87443270814,55867.77138676494,-113609.1030459432,446.83893419184506,0.9621320880879569
1800,-167770.20204205904,57921.89036952262,-109848.31167253642,463.26809028981177,0.9621320880879569
1900,-165605.8489858061,59244.08530916972,-106361.76367663639,473.8432065502345,0.9621320880879569
2000,-164124.66905658972,60809.138740608294,-103315.53031598142,486.360741971792,0.9621320880879569
2100,-162565.97593650315,61931.10981634958,-100634.86612015357,495.33443731051597,0.9621320880879569
2200,-161383.07037820667,62781.07377809775,-98601.99660010892,502.13257837363,0.9621320880879569
2300,-159423.97071136953,63767.78415598234,-95656.18655538719,510.0244380749538,0.9621320880879569
2400,-158961.15002750978,65347.17380337487,-93613.97622413491,522.6566367325452,0.9621320880879569
2500,-157616.54444929864,65486.028244474204,-92130.51620482444,523.7672156750824,0.9621320880879569
2600,-156954.41357071046,66461.74316174118,-90492.67040896928,531.5711320097503,0.9621320880879569
